loc_id,loc_internal_id,loc_source_url,loc_active,loc_lat_game,loc_lng_game,loc_lat_key,loc_lng_key,loc_distance_key,loc_key_buffer,loc_image_url,geoid,loc_city,loc_state,loc_country
27,geo27128485,https://www.airbnb.com/rooms/27128485,1,39.939999,-105.065048,39.941035,-105.064844,117,40,https://a0.muscache.com/im/pictures/ca7164e2-6f9f-483e-9496-f1cf6d8fa368.jpg,,Broomfield,CO,US
28,geo35465338,https://www.airbnb.com/rooms/35465338,1,33.192997,-117.375013,33.193500,-117.374191,95,40,https://a0.muscache.com/im/pictures/d65f5002-a8a2-4436-9999-8c86af4fda13.jpg,,Oceanside,CA,US
29,geo35193510,https://www.airbnb.com/rooms/35193510,1,35.290990,-120.656050,35.290170,-120.654812,145,40,https://a0.muscache.com/im/pictures/e3e31c24-4254-44b1-93e2-e2e8eb20ee04.jpg,,San Luis Obispo,CA,US
30,geo35568242,https://www.airbnb.com/rooms/35568242,1,35.985995,-78.915024,35.986648,-78.914116,109,40,https://a0.muscache.com/im/pictures/ed22db1e-6ed7-40a6-a95c-b40ff69b8f83.jpg,,Durham,NC,US
31,geo34815735,https://www.airbnb.com/rooms/34815735,1,33.200026,-117.380983,33.199316,-117.381508,93,40,https://a0.muscache.com/im/pictures/f8049815-8382-4e4a-98ff-dafda84a1ec8.jpg,,Oceanside,CA,US
32,geo21568349,https://www.airbnb.com/rooms/21568349,1,39.730023,-104.945953,39.730260,-104.945389,55,40,https://a0.muscache.com/im/pictures/miso/Hosting-21568349/original/ec351383-b109-4bac-8238-2385642a64d8.jpeg,,Denver,CO,US
33,geo2960499,https://www.airbnb.com/rooms/2960499,1,21.962008,-159.702964,21.960994,-159.704008,156,40,https://a0.muscache.com/im/pictures/miso/Hosting-2960499/original/30edcc26-ad21-4583-bdc0-3f72c1a5af0b.jpeg,,Kekaha,HI,US
34,geo29943206,https://www.airbnb.com/rooms/29943206,1,34.777036,-111.771985,34.776793,-111.772721,72,40,https://a0.muscache.com/im/pictures/miso/Hosting-29943206/original/a39e33b4-bcaa-4fbe-a9a0-044ec50cd1d1.jpeg,,Sedona,AZ,US
35,geo34284537,https://www.airbnb.com/rooms/34284537,1,33.605964,-117.891039,33.607090,-117.890445,137,40,https://a0.muscache.com/im/pictures/miso/Hosting-34284537/original/37ff69f7-dfbb-458d-b56c-e8e47ddcdb75.jpeg,,Newport Beach,CA,US
36,geo35793921,https://www.airbnb.com/rooms/35793921,1,48.190047,-114.304968,48.189530,-114.304477,68,40,https://a0.muscache.com/im/pictures/miso/Hosting-35793921/original/640ea80c-2b65-41c8-8dea-ccb07c9d7e7d.jpeg,,Kalispell,MT,US
